Re                            | Brutos
monday: 14                    | “So: 12
unless: 14                    | paragraph: 12
bent: 14                      | cleared: 12
different: 14                 | answer: 12
darkness: 14                  | examined: 12
wrote: 14                     | “Yes.”: 12
affair: 14                    | kept: 12
ve: 14                        | box: 12
evidently: 14                 | wonder: 12
swiftly: 14                   | “Here: 12
result: 14                    | myself.: 12
frightened: 14                | off,: 12
hotel: 14                     | start: 12
george: 14                    | foot: 12
horner: 13                    | forth: 12
trap: 13                      | before,: 12
stairs: 13                    | beg: 12
ebook: 13                     | hall: 12
west: 13                      | marked: 12
moran: 13                     | yellow: 12
spoken: 13                    | one.: 12
besides: 13                   | had,: 12
form: 13                      | Colonel: 12
inside: 13                    | running: 12
carry: 13                     | way.: 12
archive: 13                   | grew: 12
d: 13                         | danger: 12
plain: 13                     | run: 12
raise: 13                     | details: 12
scandal: 13                   | walking: 12
missing: 13                   | hat,: 12
horrible: 13                  | high: 12
running: 13                   | send: 12
break: 13                     | doubt,: 12
faced: 13                     | often: 12
houses: 13                    | breakfast: 12
situation: 13                 | wait: 12
fee: 13                       | scene: 12
clue: 13                      | voice: 12
months: 13                    | death: 12
often: 13                     | K.: 12
heavily: 13                   | locked: 12
purpose: 13                   | bed,: 12
yesterday: 13                 | pass: 12
power: 13                     | care: 12
building: 13                  | tried: 12
usual: 13                     | centre: 12
tried: 13                     | deduce: 12
deduce: 13                    | secret: 12
example: 13                   | come,: 12
knowledge: 13                 | address: 12
slipped: 13                   | this,: 12
ross: 13                      | can’t: 12
signs: 13                     | different: 12
subject: 13                   | companion: 12
throwing: 13                  | no,: 12
edge: 13                      | claim: 12
gems: 13                      | whatever: 12
self: 13                      | safe: 12
expected: 13                  | throwing: 12
copper: 13                    | pipe: 12
wood: 13                      | chair,: 12
firm: 12                      | third: 12
honour: 12                    | wished: 12
keen: 12                      | double: 12
real: 12                      | clothes: 12
pair: 12                      | last,: 12
cigar: 12                     | up.: 12
kept: 12                      | “To: 12
alive: 12                     | excellent: 12
pips: 12                      | Doctor,: 12
looks: 12                     | glass: 11
lived: 12                     | narrow: 11
wonder: 12                    | company: 11
traces: 12                    | woman’s: 11
ways: 12                      | silent: 11
bradstreet: 12                | others: 11
forth: 12                     | garden: 11
passing: 12                   | exceedingly: 11
lawn: 12                      | passage,: 11
deeply: 12                    | Then,: 11
investigation: 12             | ‘You: 11
f: 12                         | huge: 11
action: 12                    | real: 11
beg: 12                       | finally: 11
marked: 12                    | “On: 11
future: 12                    | advice: 11
piece: 12                     | pair: 11
worn: 12                      | twenty: 11
iron: 12                      | inside: 11
shining: 12                   | Her: 11
human: 12                     | donations: 11
grew: 12                      | promise: 11
raised: 12                    | important: 11
lip: 12                       | looks: 11
results: 12                   | woman,: 11
horror: 12                    | kind: 11
fifty: 12                     | fire,: 11
weary: 12                     | first,: 11
sheet: 12                     | answered,: 11
interested: 12                | therefore,: 11
alice: 12                     | later: 11
arm: 12                       | “and: 11
lascar: 12                    | wanted: 11
blow: 12                      | her.: 11
precious: 12                  | “‘You: 11
pretty: 12                    | piece: 11
banker: 12                    | “She: 11
bohemia: 12                   | sum: 11
knows: 12                     | “Have: 11
tall: 12                      | shining: 11
complete: 12                  | human: 11
statement: 12                 | free: 11
chin: 12                      | machine: 11
visit: 12                     | lit: 11
lens: 12                      | raised: 11
ill: 12                       | Holmes,”: 11
ryder: 12                     | No: 11
practice: 12                  | bright: 11
sometimes: 12                 | was.: 11
draw: 12                      | floor: 11
opium: 12                     | sheet: 11
learn: 12                     | Scotland: 11
madam: 12                     | eight: 11
general: 12                   | round,: 11
reach: 12                     | pretty: 11
search: 12                    | engaged: 11
perfectly: 12                 | work.: 11
broken: 12                    | street.: 11
wished: 12                    | Some: 11
doran: 12                     | fire.: 11
streets: 12                   | knows: 11
possibly: 12                  | friends: 11
beeches: 12                   | arms: 11
merryweather: 12              | in.: 11
narrative: 12                 | “Now,: 11
inquiry: 12                   | presence: 11
trouble: 12                   | unless: 11
lad: 11                       | law: 11
narrow: 11                    | Did: 11
beautiful: 11                 | but,: 11
contrary: 11                  | “Then,: 11
orange: 11                    | suppose: 11
fortune: 11                   | Briony: 11
thrust: 11                    | perfectly: 11
explanation: 11               | fixed: 11
influence: 11                 | mystery: 11
exceedingly: 11               | broken: 11
covered: 11                   | “‘Oh,: 11
strength: 11                  | drive: 11
huge: 11                      | possibly: 11
briony: 11                    | maid: 11
c: 11                         | quietly: 11
violence: 11                  | curious: 11
evil: 11                      | early: 10
easily: 11                    | thrust: 10
sleep: 11                     | mere: 10
value: 11                     | German: 10
wanted: 11                    | coat: 10
notice: 11                    | honour: 10
page: 11                      | bad: 10
upstairs: 11                  | “‘And: 10
prisoner: 11                  | will,: 10
horse: 11                     | hydraulic: 10
pointed: 11                   | companion.: 10
creature: 11                  | “‘Yes,: 10
